value	g1int553	g1int1346	g1int1799	g1int1267	g1int670	g1CNS354	g1int931	g1int1135	g1int351	g1CNS248	g1C03	g7H11	g1int1079	g1CNS103	g1int1635	g1int269	g1int628	g1int1493	g4G11	g6G09	g1CNS241	g1CNS507	g1CNS488	g1int1700	g8E10	g10F04	g1int1552	g1int218	g2E02	g1int1161	g6B11	g1int1757	g1int599	g1int337	g5E11	g1int258	g4C06	g1CNS17	g1int1013	g5H03	g1CNS137	g1C09	g9H01	g9E01	g1int624	g2B09	g1CNS30	g1int1247	g1int1486	g5A12	g10A02	g1int712	g1CNS113	g1C02	g1int1084	g11C11	g1int855	g1int310	g1int733	g1CNS50	g1int1360	g1CNS206	g1CNS599	g11F05	g1int1743	g1int91	g8G03	g1int1234	g1int364	g1int131	g5D05	g1int1566	g1int403	g8C02	g1int322	g1CNS22	g1int436	g1int1739	g1int516	g2E11	g1int267	g1int434	g1int1348	g1CNS201	g1CNS450	g1H09	g1A05	g1int1787	g1int766	g1CNS337	g1int762	g1int1239	g1int1611	g7F02	g1int769	g1int919	g1D08	g1CNS267	g1int1244	g7G10
0	-0.084670324	-0.058893689	0.327687364	-0.098505545	0.214124805	-0.244685096	0.117695043	0.037384071	0.12861723	-0.231074664	-0.06039728	0.096261853	0.113700499	0.062121712	0.071762669	0.081018641	0.005759269	0.011495639	-0.024390965	0.190298792	0.03562391	0.046840254	-0.086201035	0.029982866	0.125651102	-0.194049495	0.12035194	0.032806145	-0.090802937	-0.080087911	0.012926174	0.3950628	-0.282789701	-0.195946441	-0.011587974	-0.048412205	-0.007580925	0.052415894	-0.09696173	-0.001443417	-0.035046947	0.112366523	0.005759269	-4.49e-5	0.020057652	0.177598929	0.007195501	0.078609835	-0.055891201	0.079975377	0.093560176	-0.015957574	0.093560176	-0.202571918	0.064882852	0.002882509	0.162210036	-0.114897553	0.066261442	0.001441974	-0.144010303	0.542010356	-0.036525876	-0.160040413	0.067638717	0.120275266	0.079975377	-0.125006361	0.021479727	0.048236186	0.064882852	0.057970069	0.128293401	-0.115597447	-0.145605322	0.075874867	-0.040971781	0.052415894	-0.227692025	-0.174621396	-0.023269779	-0.038006323	0.186500558	0.265436896	-0.083141235	-0.002888279	-0.095419565	0.415758667	0.027154052	0.048236186	-0.005782353	0.038436182	0.03562391	0.231432408	0.01720929	-0.072482754	0.178873958	0.059355278	0.151858817	0.067638717
0	0.032806145	-0.007231569	0.545885945	-0.289827252	-0.070966521	-0.057391664	-0.075520008	-0.058893689	0.031395196	0.119024103	0.048236186	0.012926174	0.011495639	-0.00433459	-0.051399153	0.082587701	0.108357178	-0.02620507	-0.043943348	0.189033824	-0.013043037	0.01720929	0.049630768	-0.109594098	0.101650076	0.01720929	-0.450084446	-0.020340448	0.037030731	-0.02620507	-0.36215794	0.528071165	-0.128156351	-0.147202107	-0.040971781	0.032551686	-0.017417053	0.075874867	-0.023269779	0.069014678	-0.086201035	-0.007231569	0.048236186	-0.09696173	0.001441974	0.410341105	-0.01449957	-0.043943348	-0.06340917	-0.100051014	-0.01887801	-0.465938398	0.015782997	0.177598929	-0.234465254	-0.120294234	-0.023269779	0.409255147	-0.356605547	-0.078563669	0.025737561	0.364632718	-0.459972731	0.221567789	0.028569152	0.726831217	-0.001443417	0.134878054	-0.029146346	-0.008682243	0.055195654	-0.064917477	0.264236151	0.438292852	0.060739158	0.037856553	0.038436182	-0.007231569	-0.17625064	-0.043943348	-0.098505545	-0.134477041	-0.121863233	0.487401539	0.075874867	-0.375197235	0.216610069	0.506906555	0.01720929	0.060739158	0.029982866	-0.092340172	0.031395196	0.075874867	-0.035046947	-0.307572802	0.621055503	0.055195654	-0.078563669	-0.117161344
0	-0.086201035	-0.038006323	0.512985335	-0.145605322	0.046840254	-0.104697379	0.012926174	-0.002888279	-0.061902439	0.062121712	0.070389328	-0.10159814	-0.17299399	-0.075520008	0.005759269	-0.067938829	0.063502942	-0.051399153	-0.12973393	0.049630768	-0.16326792	0.014355293	0.015782997	-0.168122759	-0.210896782	0.059355278	0.053806444	-0.017417053	-0.045431429	-0.011587974	-0.010134377	0.468843943	-0.078563669	-0.204233052	-0.010134377	-0.042456799	0.002882509	0.044044333	-0.029146346	-0.066427362	-0.267079618	0.022900402	-0.001443417	-0.036525876	-0.024736678	0.178873958	-0.06039728	0.028569152	0.007195501	0.021479727	-0.01449957	0.002882509	0.021479727	0.021479727	-0.234465254	-0.038006323	-0.288064643	-0.229382353	0.074505436	-0.027674958	0.215367972	0.615416297	0.007195501	-0.01449957	-0.236163541	0.290424404	-0.336427665	0.128293401	0.001441974	0.022900402	-0.305788392	-0.06039728	-0.027674958	-0.311148256	-0.305788392	0.016165682	-0.01887801	-0.325539348	-0.168122759	-0.070966521	-0.049904906	-0.115597447	0.070389328	0.301002256	0.012926174	0.029982866	0.097610797	0.45206823	0.011495639	-0.261880711	0.046840254	-0.00433459	0.053806444	0.03562391	-0.093879047	0.008630305	0.082702589	-0.239566125	-0.03948829	-0.01887801
0	-0.067938829	0.028569152	0.687956494	0.004321606	0.020057652	0.100304906	-0.067938829	-0.052894948	-0.103146927	-0.010134377	-0.054392297	-0.171368418	-0.150400989	0.048236186	0.067638717	0.14404637	0.069014678	-0.139235797	-0.265344567	-0.007231569	-0.13606155	-0.100051014	-0.045431429	-0.045431429	-0.03948829	-0.249822294	0.008630305	-0.046921047	-0.038006323	-0.00433459	0.070389328	0.523060062	-0.084670324	-0.005782353	-0.103146927	-0.015957574	-0.258425153	0.029982866	-0.033569533	-0.150400989	0.027154052	-0.181149439	-0.114035243	-0.064917477	0.18142064	0.22527493	0.045442971	-0.055891201	-0.181149439	-0.17299399	-0.160040413	-0.295128036	-0.015957574	0.005759269	-0.343732465	0.008630305	-0.084670324	-0.093879047	-0.179514657	-0.045431429	0.014355293	0.548929769	0.108357178	-0.017417053	-0.351074441	0.209141398	-0.179514657	-0.043943348	0.064882852	-0.043943348	-0.069451881	-0.067938829	0.23388806	-0.030619235	0.038436182	0.037030731	-0.074000581	-0.190997225	-0.067938829	0.001441974	0.01720929	-0.173963796	0.020057652	0.261831659	0.10701825	0.051024003	0.002882509	0.556797247	-0.086201035	0.09085343	-0.074000581	0.028569152	-0.078563669	0.008630305	0.067638717	-0.13289427	0.220329955	-0.217591435	-0.06039728	0.141432791
0	-0.015957574	0.010063683	0.50589093	-0.052894948	-0.09696173	-0.051399153	-0.100051014	-0.002888279	-0.036525876	0.073134705	0.004321606	0.102993993	0.010063683	0.081339627	-0.015957574	-0.019040989	0.052415894	-0.074000581	0.066271572	-0.005782353	-0.02180437	0.071762669	0.066261442	-0.118726939	0.071762669	-0.015957574	0.073134705	-0.075520008	0.03562391	-0.077041036	0.03562391	0.50589093	-0.058893689	-0.055891201	-0.06340917	-0.06039728	-0.011587974	0.029982866	-0.008682243	0.053806444	-0.02180437	0.063502942	0.071762669	-0.027674958	0.049630768	0.241230036	-0.024736678	-0.013043037	-0.005782353	-0.045431429	-0.024736678	0	0.046840254	0.01720929	-0.08410073	0.021479727	-0.013043037	0.028569152	0.064882852	0.008630305	0.014355293	0.731183242	0.012926174	0.029982866	-0.005782353	0.399444565	0.005759269	0.007195501	0.038436182	0.048236186	0.102993993	-0.008682243	0.067638717	0.081339627	-0.024736678	0.01611371	0.002882509	0.008630305	-0.090802937	0.007107189	0.044044333	-0.051399153	-0.092340172	0.425459305	0.045442971	0.070389328	0.071762669	0.448369825	-0.027674958	0.063502942	-0.052894948	-0.024736678	0.055195654	0.03562391	0.021479727	-0.015957574	0.412510571	0.005759269	0.010063683	-0.09696173
0	-0.02620507	0.03562391	0.473007568	-0.220950447	0.116364757	-0.005782353	0.03562391	0.070389328	-0.03209363	-0.242976753	0.134878054	0.081339627	0.010063683	-0.069451881	0.049630768	-0.220950447	0.275007047	0	-0.179514657	-0.083141235	-0.015957574	-0.10159814	-0.179514657	-0.00433459	0.041242982	-0.253257284	0.025737561	0.063502942	-0.051399153	-0.084670324	-0.089267338	0.348232419	-0.150400989	-0.074000581	0.012926174	-0.038006323	-0.042456799	-0.002888279	-0.064917477	-0.074000581	-0.02620507	0.018634174	-0.057391664	-0.023269779	0.09895848	-0.131313235	1	0.038436182	-0.144010303	0.048236186	0.055195654	0.097610797	0.066261442	-0.058893689	-0.145605322	0.145351386	0.060739158	-0.118726939	0.073134705	0.020057652	0.021479727	0.503857533	-0.098505545	0.088141597	0.024319679	0.027154052	-0.024736678	0.09085343	0.007195501	0.064882852	-0.02180437	0.199122642	0.038436182	0.025737561	-0.080087911	-0.139235797	-0.033569533	-0.092340172	-0.13606155	0.074505436	-0.098505545	-0.095419565	-0.008682243	0.146655222	0.123003954	-0.072482754	0.051024003	0.495695163	0.010063683	0.020057652	0.010063683	0.018634174	0.012926174	0.09085343	0.129612738	0.123003954	0.052415894	0.101650076	-0.152003093	0.025737561
0	-0.077041036	0.007195501	0.576280258	0.081339627	-0.112474729	0.031395196	0.005759269	0.085424656	-0.00433459	0.084064265	-0.066427362	-0.090802937	0.034215715	0.084064265	-0.109358756	-0.06340917	-0.057391664	-0.045431429	0.109694865	0.132247798	-0.005782353	0.078609835	-0.007231569	-0.168122759	0.034215715	0.056583528	0.100304906	0.073134705	-0.070966521	0.197865391	0.010063683	0.487486349	-0.027674958	0.100304906	-0.1376478	-0.010134377	0.073134705	0.069014678	-0.125006361	0.067638717	0.027154052	-0.057391664	0.092207438	-0.001443417	-0.061902439	0.057970069	-0.106249498	-0.042456799	0.085424656	-0.048412205	-0.115597447	0.10433666	0.062121712	-0.029146346	-0.030619235	-0.03209363	0.015782997	0.071762669	-0.008682243	0.002882509	-0.126580497	0.739848103	0.029982866	-0.035046947	-0.013043037	0.255802837	-0.118726939	-0.051399153	-0.01887801	-0.048412205	-0.089267338	0.012926174	0.062121712	0.032806145	0.034215715	-0.045702197	0.069014678	-0.064917477	-0.153606979	-0.244685096	-0.083141235	-0.098505545	0.027154052	0.252173413	-0.128156351	-0.017417053	-0.128156351	0.65718266	0.100304906	-0.013043037	0.032806145	-0.045431429	-0.06039728	-0.148800661	-0.03948829	0.180147861	0.18142064	0.012926174	0.085424656	-0.13289427
0	-0.148800661	0.078609835	0.69777382	0.071187479	0.125651102	0.157421748	0.015782997	0.044044333	-0.127317527	-0.207569432	-0.01449957	0.015782997	-0.046921047	0.075008617	-0.064917477	0.057970069	0.155749233	0.075874867	-0.145605322	-0.150400989	-0.213182066	0.025737561	-0.212567535	-0.055891201	0.038436182	-0.230793061	0.032806145	0.041242982	-0.123385312	-0.169744676	0.124328135	0.206643224	-0.220950447	0.052652014	0.134878054	-0.169961424	-0.048412205	0.018634174	-0.286304185	-0.052894948	0.081339627	-0.226003675	-0.067938829	0.014355293	0.092634165	-0.06340917	0.07917651	0.094911647	-0.158429363	-0.081613766	-0.051399153	-0.174621396	-0.10159814	0.012926174	-0.254977851	-0.109358756	0.046840254	0.008420028	-0.15682011	0.063502942	-0.236163541	0.43969762	-0.072482754	0.073009227	-0.02620507	0.134878054	0.011495639	0.005759269	-0.10558773	-0.081613766	0.021479727	-0.01887801	0.049630768	0.014355293	-0.06340917	0.018634174	-0.071518106	-0.007231569	-0.160030913	-0.10780329	-0.125006361	-0.036525876	0.03562391	0.150559677	-0.060315787	-0.077041036	-0.011587974	0.541019153	0.134878054	-0.159382706	0.10142405	-0.005782353	0.149259365	0.051024003	-0.00433459	-0.210896782	0.02703634	-0.105409824	-0.305788392	0.117695043
0	-0.10159814	0.067638717	0.585923977	-0.195946441	0.067638717	-0.057225583	-0.090802937	0.159629186	0.034215715	-0.064366268	0.111031312	0.092207438	0.01720929	0.028848967	0.049630768	0.025737561	0.01720929	0.070389328	0.115033243	-0.06039728	-0.027674958	-0.184424571	-0.011587974	-0.090802937	0.032806145	-0.171368418	-0.02620507	0.136191386	0.007195501	-0.177881725	-0.074000581	0.333423734	-0.095419565	-0.01449957	0.032806145	0.12035194	-0.074000581	-0.118726939	-0.077041036	-0.160040413	0.038436182	0.001441974	0.123003954	0.115033243	-0.045431429	-0.055891201	0.00249579	0.092207438	-0.10780329	0.055195654	0.128293401	-0.126580497	-0.184424571	0.001441974	-0.069451881	-0.087733372	0.007195501	-0.077041036	0.078609835	0.241230036	-0.095419565	0.518031493	-0.158429363	-0.045431429	0.070389328	-0.01449957	0.027154052	0.077242999	-0.029146346	-0.066427362	-0.035046947	0.051024003	-0.005782353	-0.015957574	-0.027674958	0.042644337	-0.126580497	-0.075520008	-0.254977851	0.059355278	-0.002888279	0.232660757	0.024319679	-0.15521265	-0.138421823	0.079975377	0.064882852	0.565597176	-0.232768963	-0.078367202	-0.109358756	0.051024003	-0.048412205	0.042644337	-0.033569533	-0.114035243	-0.036701122	0.052294145	0.129612738	0.015782997
0	-0.03948829	-0.083141235	0.237563718	-0.13606155	0.116364757	-0.212398622	0.265436896	0.163498732	-0.21720783	-0.173464618	0.183962835	-0.052894948	0.116364757	-0.073240672	0.004321606	0.149259365	0.211635253	0.25821739	-0.125006361	0.012926174	0.018634174	-0.01449957	-0.033569533	0.100304906	0.247319935	-0.134477041	-0.07532493	-0.007231569	0.067638717	-0.194294815	-0.204233052	0.437227739	-0.034936083	-0.158429363	-0.160040413	0.096261853	0.028569152	-0.078563669	-0.072482754	0.034215715	0.141432791	-0.106249498	0.048236186	0.044044333	0.370722275	0.059130507	0.118762433	-0.023269779	-0.199255376	-0.18801818	0.141432791	-0.270555993	0.138814469	-0.074000581	-0.058893689	-0.184424571	0.09085343	-0.248671742	0.031395196	0.328836464	-0.118726939	0.445351831	-0.413115187	-0.051399153	0.073134705	-0.217591435	0.211635253	0.125651102	-0.042456799	0.005759269	0.10701825	0.240008965	0	-0.258425153	-0.158429363	0.10433666	-0.285042411	-0.148800661	-0.321928095	0.111031312	-0.049904906	-0.239543018	-0.394031641	0.060584254	-0.122810489	-0.17299399	-0.436353731	0.548929769	-0.095419565	-0.132734188	0.004321606	0.011495639	0.051024003	-0.131313235	0.070389328	-0.248107862	0.024319679	0.139410864	-0.15521265	0.210388864
